Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2023-04-06,AAPL,162.42999267578125,164.9600067138672,162.0,164.66000366210938,163.7857666015625,45390100.0
2023-04-06,GOOG,105.7699966430664,109.62999725341795,104.81500244140624,108.9000015258789,108.9000015258789,34684200.0
2023-04-06,MSFT,283.2099914550781,292.0799865722656,282.0299987792969,291.6000061035156,289.2262268066406,29770300.0
2023-04-06,NFLX,339.3399963378906,340.4800109863281,332.6300048828125,339.3299865722656,339.3299865722656,4660500.0
2023-04-06,TSLA,183.0800018310547,186.38999938964844,179.74000549316406,185.0599975585937,185.0599975585937,123857900.0
2023-04-10,AAPL,161.4199981689453,162.02999877929688,160.0800018310547,162.02999877929688,161.1697235107422,47716900.0
2023-04-10,GOOG,107.38999938964844,107.97000122070312,105.5999984741211,106.9499969482422,106.9499969482422,19741500.0
2023-04-10,MSFT,289.2099914550781,289.6000061035156,284.7099914550781,289.3900146484375,287.03424072265625,23103000.0
2023-04-10,NFLX,335.2699890136719,339.8800048828125,333.3599853515625,338.989990234375,338.989990234375,2657900.0
2023-04-10,TSLA,179.94000244140625,185.1000061035156,176.11000061035156,184.509994506836,184.509994506836,142154600.0
2023-04-11,AAPL,162.35000610351562,162.36000061035156,160.50999450683594,160.8000030517578,159.94625854492188,47644200.0
2023-04-11,GOOG,106.91999816894533,107.22000122070312,105.27999877929688,106.12000274658205,106.12000274658205,18721300.0
2023-04-11,MSFT,285.75,285.9800109863281,281.6400146484375,282.8299865722656,280.5276184082031,27276600.0
2023-04-11,NFLX,343.45001220703125,347.1400146484375,337.6400146484375,338.2099914550781,338.2099914550781,4044800.0
2023-04-11,TSLA,186.69000244140625,189.19000244140625,185.6499938964844,186.7899932861328,186.7899932861328,115770900.0
2023-04-12,AAPL,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,159.24998474121094,50133100.0
2023-04-12,GOOG,107.38999938964844,107.58699798583984,104.97000122070312,105.22000122070312,105.22000122070312,22761600.0
2023-04-12,MSFT,284.7900085449219,287.010009765625,281.9599914550781,283.489990234375,281.1822509765625,27403400.0
2023-04-12,NFLX,340.8099975585937,342.79998779296875,330.0400085449219,331.0299987792969,331.0299987792969,3965400.0
2023-04-12,TSLA,190.7400054931641,191.5800018310547,180.3099975585937,180.5399932861328,180.5399932861328,150256300.0
2023-04-13,AAPL,161.6300048828125,165.8000030517578,161.4199981689453,165.55999755859375,164.68096923828125,68445600.0
2023-04-13,GOOG,106.47000122070312,108.26499938964844,106.44000244140624,108.19000244140624,108.19000244140624,21650700.0
2023-04-13,MSFT,283.5899963378906,289.8999938964844,283.1700134277344,289.8399963378906,287.4805603027344,24222700.0
2023-04-13,NFLX,339.989990234375,346.42999267578125,338.75,346.19000244140625,346.19000244140625,7406400.0
2023-04-13,TSLA,182.9600067138672,186.5,180.94000244140625,185.8999938964844,185.8999938964844,112933000.0
2023-04-14,AAPL,164.58999633789062,166.32000732421875,163.82000732421875,165.2100067138672,164.3328399658203,49386500.0
2023-04-14,GOOG,107.69000244140624,109.58000183105467,107.58999633789062,109.45999908447266,109.45999908447266,20758700.0
2023-04-14,MSFT,287.0,288.4800109863281,283.69000244140625,286.1400146484375,283.8106994628906,20987900.0
2023-04-14,NFLX,342.94000244140625,344.8500061035156,336.4100036621094,338.6300048828125,338.6300048828125,5350500.0
2023-04-14,TSLA,183.9499969482422,186.27999877929688,182.009994506836,185.0,185.0,96438700.0
2023-04-17,AAPL,165.08999633789062,165.38999938964844,164.02999877929688,165.22999572753906,164.3527374267578,41516200.0
2023-04-17,GOOG,105.43000030517578,106.70999908447266,105.31999969482422,106.41999816894533,106.41999816894533,29043400.0
2023-04-17,MSFT,289.92999267578125,291.6000061035156,286.1600036621094,288.79998779296875,286.4490051269531,23836200.0
2023-04-17,NFLX,338.0,338.3900146484375,327.5,332.7200012207031,332.7200012207031,6136000.0
2023-04-17,TSLA,186.32000732421875,189.69000244140625,182.69000244140625,187.0399932861328,187.0399932861328,116662200.0
2023-04-18,AAPL,166.10000610351562,167.41000366210938,165.64999389648438,166.47000122070312,165.58616638183594,49923000.0
2023-04-18,GOOG,107.0,107.0500030517578,104.77999877929688,105.12000274658205,105.12000274658205,17641400.0
2023-04-18,MSFT,291.57000732421875,291.760009765625,287.010009765625,288.3699951171875,286.0224914550781,20161800.0
2023-04-18,NFLX,335.0,337.19000244140625,330.5,333.70001220703125,333.70001220703125,17944500.0
2023-04-18,TSLA,187.1499938964844,187.69000244140625,183.5800018310547,184.3099975585937,184.3099975585937,92067000.0
2023-04-19,AAPL,165.8000030517578,168.16000366210938,165.5399932861328,167.6300048828125,166.74000549316406,47720200.0
2023-04-19,GOOG,104.21499633789062,105.7249984741211,103.8000030517578,105.0199966430664,105.0199966430664,16732000.0
2023-04-19,MSFT,285.989990234375,289.04998779296875,284.5400085449219,288.45001220703125,286.1019287109375,17150300.0
2023-04-19,NFLX,324.2099914550781,325.75,316.1000061035156,323.1199951171875,323.1199951171875,22128300.0
2023-04-19,TSLA,179.10000610351562,183.5,177.64999389648438,180.58999633789065,180.58999633789065,125732700.0
2023-04-20,AAPL,166.08999633789062,167.8699951171875,165.55999755859375,166.64999389648438,165.76519775390625,52456400.0
2023-04-20,GOOG,104.6500015258789,106.88800048828124,104.63999938964844,105.9000015258789,105.9000015258789,22515300.0
2023-04-20,MSFT,285.25,289.0299987792969,285.0799865722656,286.1099853515625,283.7809143066406,23244400.0
2023-04-20,NFLX,320.3900146484375,331.42999267578125,318.3299865722656,325.3500061035156,325.3500061035156,9947800.0
2023-04-20,TSLA,166.1699981689453,169.6999969482422,160.55999755859375,162.99000549316406,162.99000549316406,210970800.0
2023-04-21,AAPL,165.0500030517578,166.4499969482422,164.49000549316406,165.02000427246094,164.14385986328125,58337300.0
2023-04-21,GOOG,106.08999633789062,106.63999938964844,105.48500061035156,105.91000366210938,105.91000366210938,22379000.0
2023-04-21,MSFT,285.010009765625,286.2699890136719,283.0599975585937,285.760009765625,283.43377685546875,21676400.0
2023-04-21,NFLX,323.0,328.2900085449219,319.5,327.9800109863281,327.9800109863281,6348000.0
2023-04-21,TSLA,164.8000030517578,166.0,161.32000732421875,165.0800018310547,165.0800018310547,123539000.0
2023-04-24,AAPL,165.0,165.60000610351562,163.88999938964844,165.3300018310547,164.45220947265625,41949600.0
2023-04-24,GOOG,106.0500030517578,107.31999969482422,105.36000061035156,106.77999877929688,106.77999877929688,21410900.0
2023-04-24,MSFT,282.0899963378906,284.95001220703125,278.7200012207031,281.7699890136719,279.4762268066406,26611000.0
2023-04-24,NFLX,330.20001220703125,334.6600036621094,326.75,329.0199890136719,329.0199890136719,5586600.0
2023-04-24,TSLA,164.64999389648438,165.64999389648438,158.61000061035156,162.5500030517578,162.5500030517578,140006600.0
2023-04-25,AAPL,165.19000244140625,166.30999755859375,163.72999572753906,163.77000427246094,162.90048217773438,48714100.0
2023-04-25,GOOG,106.61000061035156,107.44000244140624,104.55999755859376,104.61000061035156,104.61000061035156,31408100.0
2023-04-25,MSFT,279.510009765625,281.6000061035156,275.3699951171875,275.4200134277344,273.1779479980469,45772200.0
2023-04-25,NFLX,328.5,328.6600036621094,321.1000061035156,322.54998779296875,322.54998779296875,5426600.0
2023-04-25,TSLA,159.82000732421875,163.47000122070312,158.75,160.6699981689453,160.6699981689453,121999300.0
2023-04-26,AAPL,163.05999755859375,165.27999877929688,162.8000030517578,163.75999450683594,162.89053344726562,45498800.0
2023-04-26,GOOG,105.55999755859376,107.0199966430664,103.2699966430664,104.4499969482422,104.4499969482422,37068200.0
2023-04-26,MSFT,296.70001220703125,299.57000732421875,292.7300109863281,295.3699951171875,292.96551513671875,64599200.0
2023-04-26,NFLX,321.3599853515625,325.8999938964844,320.4700012207031,321.1499938964844,321.1499938964844,4623200.0
2023-04-26,TSLA,160.2899932861328,160.6699981689453,153.13999938964844,153.75,153.75,153364100.0
2023-04-27,AAPL,165.19000244140625,168.55999755859375,165.19000244140625,168.41000366210938,167.51585388183594,64902300.0
2023-04-27,GOOG,105.2300033569336,109.1500015258789,104.41999816894533,108.37000274658205,108.37000274658205,38235200.0
2023-04-27,MSFT,295.9700012207031,305.20001220703125,295.25,304.8299865722656,302.3485412597656,46462600.0
2023-04-27,NFLX,324.29998779296875,327.45001220703125,317.44000244140625,325.8500061035156,325.8500061035156,5618800.0
2023-04-27,TSLA,152.63999938964844,160.47999572753906,152.3699951171875,160.19000244140625,160.19000244140625,127015200.0
2023-04-28,AAPL,168.49000549316406,169.85000610351562,167.8800048828125,169.67999267578125,168.77911376953125,55209200.0
2023-04-28,GOOG,107.8000030517578,108.29000091552734,106.04000091552734,108.22000122070312,108.22000122070312,23957900.0
2023-04-28,MSFT,304.010009765625,308.92999267578125,303.3099975585937,307.260009765625,304.7587585449219,36446700.0
2023-04-28,NFLX,325.239990234375,330.8099975585937,324.0,329.92999267578125,329.92999267578125,4221900.0
2023-04-28,TSLA,160.89999389648438,165.0,157.32000732421875,164.30999755859375,164.30999755859375,122515800.0
2023-05-01,AAPL,169.27999877929688,170.4499969482422,168.63999938964844,169.58999633789062,168.68959045410156,52472900.0
